stem,run_id,coating_gap,position,frame_number,split
image_88,R1,900,top-to-bottom-center,486,val
image_89,R1,1100,top-to-bottom-center,97,train
image_90,R1,1100,top-to-bottom-center,220,train
image_91,R1,1100,top-to-bottom-center-1,96,train
image_92,R1,900,top-to-bottom-center,207,val
image_93,R1,600,top-to-bottom-center,308,val
image_94,R1,900,top-to-bottom-center,565,train
image_95,R1,600,top-to-bottom-center,143,train
image_96,R1,1100,top-to-bottom-center,254,train
image_97,R1,700,top-to-bottom-center,387,train
image_98,R1,700,top-to-bottom-center,347,val
image_99,R1,1100,top-to-bottom-center-1,521,train
image_100,R1,1100,top-to-bottom-center,128,train
image_101,R1,700,top-to-bottom-center,556,train
image_102,R1,600,top-to-bottom-center,87,train
image_103,R1,1000,top-to-bottom-center,260,train
image_104,R1,600,top-to-bottom-center,412,val
image_105,R1,1100,top-to-bottom-center,205,val
image_106,R1,1000,top-to-bottom-center,550,train
image_107,R1,1000,top-to-bottom-center,550,train
image_108,R1,800,top-to-bottom-center,499,train
image_109,R1,1100,top-to-bottom-center,218,train
image_110,R1,600,top-to-bottom-center,408,train
image_111,R1,900,top-to-bottom-center,604,train
image_112,R1,1100,top-to-bottom-center,52,train
image_113,R1,700,top-to-bottom-center,289,train
image_114,R1,900,top-to-bottom-center,593,train
image_115,R7,700,middle,260,test_out
image_116,R7,700,middle,221,test_out
image_117,R1,700,top-to-bottom-center,312,train
image_118,R1,1100,top-to-bottom-center,145,train
image_119,R1,700,top-to-bottom-center,334,train
image_120,R1,1100,top-to-bottom-center,297,val
image_121,R1,1100,top-to-bottom-center-1,284,test_in
image_122,R1,1000,top-to-bottom-center,225,train
image_123,R1,1100,top-to-bottom-center,124,train
image_124,R1,1100,top-to-bottom-center-1,402,train
image_125,R1,600,top-to-bottom-center,372,train
image_126,R1,1100,top-to-bottom-center-1,161,train
image_127,R1,900,top-to-bottom-center,316,val
image_128,R1,1100,top-to-bottom-center,167,val
image_129,R1,900,top-to-bottom-center,376,val
image_130,R1,1100,top-to-bottom-center,297,val
image_131,R1,1100,top-to-bottom-center,239,train
image_132,R7,700,middle,520,test_out
image_133,R1,700,top-to-bottom-center,580,train
image_134,R1,1000,top-to-bottom-center,338,train
image_135,R1,1100,top-to-bottom-center,83,train
image_136,R1,1100,top-to-bottom-center-1,235,test_in
image_137,R1,800,top-to-bottom-center,499,train
image_138,R1,700,top-to-bottom-center,312,train
image_139,R1,900,top-to-bottom-center,611,train
image_140,R1,900,top-to-bottom-center,557,val
image_141,R1,700,top-to-bottom-center,673,train
image_142,R1,600,top-to-bottom-center,356,train
image_143,R1,1100,top-to-bottom-center,167,val
image_144,R1,1000,top-to-bottom-center,434,val
image_145,R1,1100,top-to-bottom-center,308,test_in
image_146,R1,900,top-to-bottom-center,179,val
image_147,R7,700,middle,208,test_out
image_148,R1,800,top-to-bottom-center,473,val
image_149,R1,1100,top-to-bottom-center,239,train
image_150,R1,1000,top-to-bottom-center,156,train
image_151,R1,800,top-to-bottom-center,439,train
image_152,R1,1100,top-to-bottom-center-1,169,train
image_153,R7,700,middle,122,test_out
image_154,R1,1100,top-to-bottom-center,161,val
image_155,R1,1100,top-to-bottom-center-1,372,train
image_156,R1,700,top-to-bottom-center,505,train
image_157,R1,900,top-to-bottom-center,405,train
image_158,R1,1100,top-to-bottom-center,52,train
image_159,R1,900,top-to-bottom-center,376,val
image_160,R1,600,top-to-bottom-center,51,train
image_161,R1,600,top-to-bottom-center,61,train
image_162,R1,600,top-to-bottom-center,203,train
image_163,R1,1100,top-to-bottom-center-1,96,train
image_164,R1,600,top-to-bottom-center,526,train
image_165,R1,1100,top-to-bottom-center-1,387,train
image_166,R1,800,top-to-bottom-center,304,test_in
image_167,R1,1100,top-to-bottom-center-1,342,train
image_168,R1,700,top-to-bottom-center,347,val
image_169,R1,800,top-to-bottom-center,98,train
image_170,R1,700,top-to-bottom-center,580,train
image_171,R1,900,top-to-bottom-center,210,train
image_172,R1,1000,top-to-bottom-center,434,val
image_173,R1,1100,top-to-bottom-center,147,train
image_174,R7,700,middle,520,test_out
image_175,R7,700,middle,489,test_out
image_176,R1,1100,top-to-bottom-center-1,161,train
image_177,R7,700,middle,238,test_out
image_178,R1,1000,top-to-bottom-center,338,train
image_179,R1,900,top-to-bottom-center,303,test_in
image_180,R1,900,top-to-bottom-center,611,train
image_181,R1,1100,top-to-bottom-center-1,488,train
image_182,R1,800,top-to-bottom-center,573,test_in
image_183,R1,800,top-to-bottom-center,499,train
image_184,R1,800,top-to-bottom-center,479,train
image_185,R1,1100,top-to-bottom-center-1,96,train
image_186,R1,800,top-to-bottom-center,255,train
image_187,R1,900,top-to-bottom-center,376,val
image_188,R1,800,top-to-bottom-center,318,train
image_189,R1,1100,top-to-bottom-center-1,225,val
image_190,R1,1100,top-to-bottom-center-1,468,val
image_191,R1,800,top-to-bottom-center,304,test_in
image_192,R1,1100,top-to-bottom-center,191,val
image_193,R7,700,middle,520,test_out
image_194,R7,700,middle,221,test_out
image_195,R1,1100,top-to-bottom-center,277,train
image_196,R1,600,top-to-bottom-center,299,train
image_197,R1,800,top-to-bottom-center,72,train
image_198,R1,1000,top-to-bottom-center,551,val
image_199,R7,700,middle,1,test_out
image_200,R1,1100,top-to-bottom-center,286,train
image_201,R1,600,top-to-bottom-center,611,val
image_202,R1,1100,top-to-bottom-center-1,161,train
image_203,R1,1100,top-to-bottom-center,342,train
image_204,R1,1000,top-to-bottom-center,595,test_in
image_205,R1,800,top-to-bottom-center,112,train
image_206,R1,1100,top-to-bottom-center,147,train
image_207,R1,1100,top-to-bottom-center-1,241,train
image_208,R1,1100,top-to-bottom-center,179,train
image_209,R1,600,top-to-bottom-center,622,train
image_210,R7,700,middle,97,test_out
image_211,R1,900,top-to-bottom-center,221,train
image_212,R1,1100,top-to-bottom-center,342,train
image_213,R1,900,top-to-bottom-center,564,train
image_214,R1,1100,top-to-bottom-center,264,train
image_215,R1,800,top-to-bottom-center,573,test_in
image_216,R1,800,top-to-bottom-center,499,train
image_217,R1,1100,top-to-bottom-center,144,test_in
image_218,R1,800,top-to-bottom-center,501,train
image_219,R1,800,top-to-bottom-center,80,train
image_220,R1,700,top-to-bottom-center,505,train
image_221,R1,1000,top-to-bottom-center,180,train
image_222,R1,1100,top-to-bottom-center,308,test_in
image_223,R1,1100,top-to-bottom-center-1,235,test_in
image_224,R1,700,top-to-bottom-center,306,train
image_225,R1,900,top-to-bottom-center,593,train
image_226,R1,1100,top-to-bottom-center-1,402,train
image_227,R1,600,top-to-bottom-center,594,train
image_228,R1,700,top-to-bottom-center,373,test_in
image_229,R1,800,top-to-bottom-center,526,val
image_230,R1,900,top-to-bottom-center,493,train
image_231,R1,600,top-to-bottom-center,53,train
image_232,R1,600,top-to-bottom-center,586,train
image_233,R1,900,top-to-bottom-center,37,val
image_234,R1,800,top-to-bottom-center,318,train
image_235,R1,1000,top-to-bottom-center,461,train
image_236,R1,1000,top-to-bottom-center,170,train
image_237,R1,700,top-to-bottom-center,648,train
image_238,R1,700,top-to-bottom-center,44,train
image_239,R1,900,top-to-bottom-center,263,train
image_240,R1,800,top-to-bottom-center,49,train
image_241,R1,800,top-to-bottom-center,413,train
image_242,R1,1000,top-to-bottom-center,85,train
image_243,R1,1100,top-to-bottom-center,384,val
image_244,R1,1100,top-to-bottom-center-1,250,train
image_245,R1,600,top-to-bottom-center,555,test_in
image_246,R1,1100,top-to-bottom-center,97,train
image_247,R1,1100,top-to-bottom-center-1,502,train
image_248,R1,900,top-to-bottom-center,109,train
image_249,R1,1100,top-to-bottom-center,232,test_in
image_250,R1,1000,top-to-bottom-center,338,train
image_251,R1,600,top-to-bottom-center,63,val
image_252,R1,600,top-to-bottom-center,407,train
image_253,R1,800,top-to-bottom-center,49,train
image_254,R1,700,top-to-bottom-center,597,train
image_255,R1,1100,top-to-bottom-center,183,val
image_256,R1,1100,top-to-bottom-center-1,284,test_in
image_257,R1,1100,top-to-bottom-center,297,val
image_258,R1,700,top-to-bottom-center,334,train
image_259,R1,1100,top-to-bottom-center,232,test_in
image_260,R1,800,top-to-bottom-center,367,train
image_261,R1,1100,top-to-bottom-center,384,val
image_262,R1,1100,top-to-bottom-center-1,280,val
image_263,R1,800,top-to-bottom-center,608,train
image_264,R7,700,middle,221,test_out
image_265,R1,900,top-to-bottom-center,392,train
image_266,R1,900,top-to-bottom-center,152,test_in
image_267,R1,1100,top-to-bottom-center,297,val
image_268,R1,1100,top-to-bottom-center,356,train
image_269,R1,1100,top-to-bottom-center-1,342,train
image_270,R1,900,top-to-bottom-center,263,train
image_271,R1,1100,top-to-bottom-center-1,402,train
image_272,R1,700,top-to-bottom-center,570,train
image_273,R1,1100,top-to-bottom-center-1,481,train
image_274,R1,600,top-to-bottom-center,611,val
image_275,R1,800,top-to-bottom-center,641,train
image_276,R7,700,middle,500,test_out
image_277,R1,900,top-to-bottom-center,251,train
image_278,R1,1100,top-to-bottom-center-1,338,train
image_279,R7,700,middle,251,test_out
image_280,R1,1100,top-to-bottom-center,191,val
image_281,R1,1100,top-to-bottom-center-1,284,test_in
image_282,R1,1000,top-to-bottom-center,287,train
image_283,R7,700,middle,1,test_out
image_284,R1,1100,top-to-bottom-center,167,val
image_285,R1,800,top-to-bottom-center,638,val
image_286,R1,700,top-to-bottom-center,254,train
image_287,R1,1100,top-to-bottom-center-1,425,train
image_288,R1,1000,top-to-bottom-center,458,train
image_289,R1,900,top-to-bottom-center,392,train
image_290,R1,800,top-to-bottom-center,501,train
image_291,R1,900,top-to-bottom-center,392,train
image_292,R1,1100,top-to-bottom-center,43,train
image_293,R1,1100,top-to-bottom-center,262,train
image_294,R1,1100,top-to-bottom-center,98,train
image_295,R1,600,top-to-bottom-center,586,train
image_296,R1,700,top-to-bottom-center,64,train
image_297,R1,900,top-to-bottom-center,434,train
image_298,R1,1100,top-to-bottom-center-1,447,train
image_299,R1,1100,top-to-bottom-center,177,train
image_300,R1,900,top-to-bottom-center,207,val
image_301,R1,1100,top-to-bottom-center-1,280,val
image_302,R1,800,top-to-bottom-center,627,val
image_303,R1,1100,top-to-bottom-center-1,447,train
image_304,R1,700,top-to-bottom-center,228,train
image_305,R1,1100,top-to-bottom-center-1,241,train
image_306,R1,1100,top-to-bottom-center,177,train
image_307,R1,900,top-to-bottom-center,251,train
image_308,R1,600,top-to-bottom-center,372,train
image_309,R1,700,top-to-bottom-center,597,train
image_310,R1,1100,top-to-bottom-center,345,train
image_311,R1,900,top-to-bottom-center,362,train
image_312,R1,800,top-to-bottom-center,540,train
image_313,R1,1000,top-to-bottom-center,8,val
image_314,R1,900,top-to-bottom-center,290,val
image_315,R1,800,top-to-bottom-center,540,train
image_316,R1,600,top-to-bottom-center,36,train
image_317,R1,800,top-to-bottom-center,641,train
image_318,R1,600,top-to-bottom-center,394,train
image_319,R1,900,top-to-bottom-center,316,val
image_320,R1,1100,top-to-bottom-center,83,train
image_321,R1,1000,top-to-bottom-center,384,train
image_322,R1,900,top-to-bottom-center,275,train
image_323,R1,700,top-to-bottom-center,590,train
image_324,R1,900,top-to-bottom-center,263,train
image_325,R1,1100,top-to-bottom-center-1,280,val
image_326,R1,1000,top-to-bottom-center,8,val
image_327,R1,900,top-to-bottom-center,332,train
image_328,R1,600,top-to-bottom-center,569,val
image_329,R1,1000,top-to-bottom-center,451,train
image_330,R1,1000,top-to-bottom-center,245,train
image_331,R1,1000,top-to-bottom-center,287,train
image_332,R1,900,top-to-bottom-center,486,val
image_333,R1,1000,top-to-bottom-center,287,train
image_334,R1,1000,top-to-bottom-center,260,train
image_335,R1,1100,top-to-bottom-center,297,val
image_336,R1,1100,top-to-bottom-center-1,205,val
image_337,R1,600,top-to-bottom-center,70,train
image_338,R1,900,top-to-bottom-center,565,train
image_339,R1,700,top-to-bottom-center,580,train
image_340,R1,600,top-to-bottom-center,182,train
image_341,R7,700,middle,97,test_out
image_342,R1,600,top-to-bottom-center,203,train
image_343,R1,1100,top-to-bottom-center,52,train
image_344,R1,1100,top-to-bottom-center-1,235,test_in
image_345,R1,700,top-to-bottom-center,648,train
image_346,R1,900,top-to-bottom-center,376,val
image_347,R1,600,top-to-bottom-center,631,train
image_348,R1,700,top-to-bottom-center,41,train
image_349,R1,600,top-to-bottom-center,622,train
image_350,R1,800,top-to-bottom-center,367,train
image_351,R1,800,top-to-bottom-center,573,test_in
image_352,R1,800,top-to-bottom-center,318,train
image_353,R1,1100,top-to-bottom-center,287,train
image_354,R7,700,middle,558,test_out
image_355,R1,600,top-to-bottom-center,412,val
image_356,R1,1000,top-to-bottom-center,225,train
image_357,R1,1100,top-to-bottom-center-1,235,test_in
image_358,R1,800,top-to-bottom-center,413,train
image_359,R1,600,top-to-bottom-center,418,train
image_360,R1,700,top-to-bottom-center,254,train
image_361,R1,1100,top-to-bottom-center,361,train
image_362,R1,900,top-to-bottom-center,512,train
image_363,R1,1000,top-to-bottom-center,209,train
image_364,R1,1100,top-to-bottom-center,370,train
image_365,R1,800,top-to-bottom-center,413,train
image_366,R7,700,middle,97,test_out
image_367,R1,1000,top-to-bottom-center,434,val
image_368,R1,1000,top-to-bottom-center,384,train
image_369,R1,900,top-to-bottom-center,109,train
image_370,R1,700,top-to-bottom-center,228,train
image_371,R7,700,middle,574,test_out
image_372,R1,800,top-to-bottom-center,479,train
image_373,R1,900,top-to-bottom-center,194,train
image_374,R1,900,top-to-bottom-center,486,val
image_375,R1,700,top-to-bottom-center,41,train
image_376,R1,1100,top-to-bottom-center-1,96,train
image_377,R1,900,top-to-bottom-center,303,test_in
image_378,R1,900,top-to-bottom-center,434,train
image_379,R1,900,top-to-bottom-center,565,train
image_380,R1,1100,top-to-bottom-center-1,329,train
image_381,R1,700,top-to-bottom-center,580,train
image_382,R1,900,top-to-bottom-center,192,train
image_383,R1,1000,top-to-bottom-center,173,train
image_384,R1,900,top-to-bottom-center,593,train
image_385,R1,900,top-to-bottom-center,234,train
image_386,R1,700,top-to-bottom-center,329,train
image_387,R1,900,top-to-bottom-center,275,train
image_388,R1,900,top-to-bottom-center,434,train
image_389,R1,1100,top-to-bottom-center,128,train
image_390,R1,1100,top-to-bottom-center,132,train
image_391,R1,1100,top-to-bottom-center,254,train
image_392,R1,800,top-to-bottom-center,473,val
image_393,R1,800,top-to-bottom-center,641,train
image_394,R1,1100,top-to-bottom-center,220,train
image_395,R1,1100,top-to-bottom-center-1,169,train
image_396,R1,600,top-to-bottom-center,586,train
image_397,R1,1100,top-to-bottom-center,147,train
image_398,R1,700,top-to-bottom-center,260,train
image_399,R1,1100,top-to-bottom-center-1,174,train
image_400,R1,900,top-to-bottom-center,316,val
image_401,R1,1100,top-to-bottom-center,330,train
image_402,R1,600,top-to-bottom-center,553,train
image_403,R1,800,top-to-bottom-center,561,train
image_404,R1,1000,top-to-bottom-center,245,train
image_405,R1,600,top-to-bottom-center,594,train
image_406,R1,600,top-to-bottom-center,659,train
image_407,R1,900,top-to-bottom-center,493,train
image_408,R1,1100,top-to-bottom-center,83,train
image_409,R7,700,middle,566,test_out
image_410,R1,600,top-to-bottom-center,586,train
image_411,R1,1100,top-to-bottom-center-1,468,val
image_412,R1,800,top-to-bottom-center,255,train
image_413,R1,800,top-to-bottom-center,573,test_in
image_414,R1,1100,top-to-bottom-center-1,205,val
image_415,R1,1000,top-to-bottom-center,395,train
image_416,R1,1100,top-to-bottom-center,327,train
image_417,R1,1100,top-to-bottom-center-1,338,train
image_418,R1,1100,top-to-bottom-center-1,493,train
image_419,R1,700,top-to-bottom-center,570,train
image_420,R7,700,middle,1,test_out
image_421,R1,1100,top-to-bottom-center,175,val
image_422,R1,1100,top-to-bottom-center,52,train
image_423,R1,900,top-to-bottom-center,316,val
image_424,R1,900,top-to-bottom-center,221,train
image_425,R1,1100,top-to-bottom-center,254,train
image_426,R1,800,top-to-bottom-center,339,train
image_427,R1,1100,top-to-bottom-center-1,225,val
image_428,R1,1100,top-to-bottom-center,345,train
image_429,R1,1100,top-to-bottom-center,223,train
image_430,R1,900,top-to-bottom-center,288,train
image_431,R1,600,top-to-bottom-center,525,train
image_432,R1,900,top-to-bottom-center,192,train
image_433,R1,1100,top-to-bottom-center,161,val
image_434,R1,700,top-to-bottom-center,485,train
image_435,R1,800,top-to-bottom-center,170,val
image_436,R1,600,top-to-bottom-center,418,train
image_437,R1,600,top-to-bottom-center,45,train
image_438,R1,1100,top-to-bottom-center-1,96,train
image_439,R1,1100,top-to-bottom-center,177,train
image_440,R1,1100,top-to-bottom-center-1,284,test_in
image_441,R1,1100,top-to-bottom-center,345,train
image_442,R1,800,top-to-bottom-center,339,train
image_443,R1,900,top-to-bottom-center,362,train
image_444,R1,1100,top-to-bottom-center-1,481,train
image_445,R1,600,top-to-bottom-center,403,train
image_446,R1,700,top-to-bottom-center,218,test_in
image_447,R1,600,top-to-bottom-center,274,val
image_448,R1,700,top-to-bottom-center,597,train
image_449,R1,1000,top-to-bottom-center,487,train
image_450,R1,900,top-to-bottom-center,405,train
image_451,R1,1100,top-to-bottom-center,132,train
image_452,R1,700,top-to-bottom-center,661,train
image_453,R1,700,top-to-bottom-center,590,train
image_454,R1,1100,top-to-bottom-center,109,val
image_455,R1,900,top-to-bottom-center,512,train
image_456,R1,1100,top-to-bottom-center-1,342,train
image_457,R1,700,top-to-bottom-center,44,train
image_458,R1,700,top-to-bottom-center,387,train
image_459,R7,700,middle,566,test_out
image_460,R7,700,middle,553,test_out
image_461,R1,900,top-to-bottom-center,207,val
image_462,R1,1100,top-to-bottom-center,232,test_in
image_463,R1,700,top-to-bottom-center,485,train
image_464,R1,1100,top-to-bottom-center,330,train
image_465,R1,1000,top-to-bottom-center,384,train
image_466,R1,900,top-to-bottom-center,486,val
image_467,R1,1100,top-to-bottom-center,161,val
image_468,R1,700,top-to-bottom-center,387,train
image_469,R1,800,top-to-bottom-center,253,train
image_470,R1,700,top-to-bottom-center,618,train
image_471,R1,1000,top-to-bottom-center,395,train
image_472,R1,700,top-to-bottom-center,452,train
image_473,R1,700,top-to-bottom-center,570,train
image_474,R1,1100,top-to-bottom-center,254,train
image_475,R1,600,top-to-bottom-center,403,train
image_476,R1,600,top-to-bottom-center,477,val
image_477,R1,1100,top-to-bottom-center,372,train
image_478,R1,600,top-to-bottom-center,622,train
image_479,R1,700,top-to-bottom-center,485,train
image_480,R1,1100,top-to-bottom-center,239,train
image_481,R1,600,top-to-bottom-center,659,train
image_482,R1,600,top-to-bottom-center,372,train
image_483,R1,800,top-to-bottom-center,540,train
image_484,R1,700,top-to-bottom-center,306,train
image_485,R1,1000,top-to-bottom-center,222,val
image_486,R1,800,top-to-bottom-center,492,train
image_487,R1,600,top-to-bottom-center,622,train
image_488,R1,900,top-to-bottom-center,347,train
image_489,R1,1100,top-to-bottom-center-1,205,val
image_490,R1,700,top-to-bottom-center,228,train
image_491,R1,1000,top-to-bottom-center,451,train
image_492,R1,800,top-to-bottom-center,641,train
image_493,R1,1100,top-to-bottom-center,77,train
image_494,R1,1100,top-to-bottom-center,161,val
image_495,R7,700,middle,97,test_out
image_496,R1,600,top-to-bottom-center,412,val
image_497,R1,700,top-to-bottom-center,426,train
image_498,R1,1100,top-to-bottom-center,386,train
image_499,R1,700,top-to-bottom-center,6,val
image_500,R1,900,top-to-bottom-center,234,train
image_501,R1,900,top-to-bottom-center,194,train
image_502,R1,1100,top-to-bottom-center,161,val
image_503,R1,600,top-to-bottom-center,45,train
image_504,R1,600,top-to-bottom-center,201,val
image_505,R1,600,top-to-bottom-center,596,train
image_506,R1,1100,top-to-bottom-center,372,train
image_507,R1,1000,top-to-bottom-center,134,train
image_508,R1,600,top-to-bottom-center,464,val
image_509,R1,700,top-to-bottom-center,306,train
image_510,R1,1100,top-to-bottom-center-1,220,train
image_511,R1,1100,top-to-bottom-center-1,280,val
image_512,R1,800,top-to-bottom-center,501,train
image_513,R1,1000,top-to-bottom-center,458,train
image_514,R1,700,top-to-bottom-center,387,train
image_515,R1,800,top-to-bottom-center,554,val
image_516,R7,700,middle,212,test_out
image_517,R1,1100,top-to-bottom-center-1,425,train
image_518,R1,1000,top-to-bottom-center,487,train
image_519,R1,700,top-to-bottom-center,260,train
image_520,R1,600,top-to-bottom-center,459,train
image_521,R1,600,top-to-bottom-center,586,train
image_522,R1,800,top-to-bottom-center,638,val
image_523,R1,700,top-to-bottom-center,556,train
image_524,R1,1000,top-to-bottom-center,209,train
image_525,R1,1100,top-to-bottom-center,253,train
image_526,R1,1000,top-to-bottom-center,8,val
image_527,R1,900,top-to-bottom-center,221,train
image_528,R7,700,middle,122,test_out
image_529,R1,800,top-to-bottom-center,561,train
image_530,R1,600,top-to-bottom-center,457,train
image_531,R1,1100,top-to-bottom-center-1,174,train
image_532,R1,600,top-to-bottom-center,603,train
image_533,R1,800,top-to-bottom-center,573,test_in
image_534,R1,800,top-to-bottom-center,631,train
image_535,R1,1100,top-to-bottom-center,264,train
image_536,R1,600,top-to-bottom-center,631,train
image_537,R1,1000,top-to-bottom-center,594,train
image_538,R1,600,top-to-bottom-center,611,val
image_539,R1,1100,top-to-bottom-center-1,488,train
image_540,R1,1100,top-to-bottom-center,308,test_in
image_541,R1,1100,top-to-bottom-center,123,train
image_542,R1,800,top-to-bottom-center,304,test_in
image_543,R1,1100,top-to-bottom-center,147,train
image_544,R1,900,top-to-bottom-center,166,train
image_545,R1,800,top-to-bottom-center,492,train
image_546,R1,900,top-to-bottom-center,604,train
image_547,R1,1100,top-to-bottom-center,147,train
image_548,R1,1100,top-to-bottom-center,98,train
image_549,R1,1000,top-to-bottom-center,569,val
image_550,R1,600,top-to-bottom-center,376,train
image_551,R1,1100,top-to-bottom-center-1,120,train
image_552,R1,1000,top-to-bottom-center,245,train
image_553,R1,900,top-to-bottom-center,234,train
image_554,R1,1000,top-to-bottom-center,8,val
image_555,R1,1000,top-to-bottom-center,209,train
image_556,R1,900,top-to-bottom-center,192,train
image_557,R1,1100,top-to-bottom-center,308,test_in
image_558,R1,900,top-to-bottom-center,210,train
image_559,R1,1100,top-to-bottom-center-1,342,train
image_560,R1,900,top-to-bottom-center,234,train
image_561,R1,700,top-to-bottom-center,386,train
image_562,R1,600,top-to-bottom-center,631,train
image_563,R1,1100,top-to-bottom-center-1,372,train
image_564,R1,600,top-to-bottom-center,526,train
image_565,R1,600,top-to-bottom-center,603,train
image_566,R1,1100,top-to-bottom-center-1,284,test_in
image_567,R1,700,top-to-bottom-center,648,train
image_568,R1,900,top-to-bottom-center,288,train
image_569,R7,700,middle,520,test_out
image_570,R1,900,top-to-bottom-center,564,train
image_571,R1,1000,top-to-bottom-center,180,train
image_572,R1,800,top-to-bottom-center,638,val
image_573,R7,700,middle,581,test_out
image_574,R1,1100,top-to-bottom-center,145,train
image_575,R1,1100,top-to-bottom-center-1,235,test_in
image_576,R1,1100,top-to-bottom-center-1,397,train
image_577,R1,900,top-to-bottom-center,347,train
image_578,R1,600,top-to-bottom-center,119,val
image_579,R7,700,middle,1,test_out
image_580,R7,700,middle,97,test_out
image_581,R1,800,top-to-bottom-center,358,train
image_582,R1,1100,top-to-bottom-center,253,train
image_583,R1,700,top-to-bottom-center,306,train
image_584,R1,600,top-to-bottom-center,412,val
image_585,R1,900,top-to-bottom-center,37,val
image_586,R1,1100,top-to-bottom-center,327,train
image_587,R1,700,top-to-bottom-center,254,train
image_588,R1,1100,top-to-bottom-center,193,train
image_589,R7,700,middle,581,test_out
image_590,R7,700,middle,253,test_out
image_591,R1,1100,top-to-bottom-center-1,402,train
image_592,R1,700,top-to-bottom-center,452,train
image_593,R1,700,top-to-bottom-center,260,train
image_594,R1,800,top-to-bottom-center,439,train
